summary_path,reference_path,METEOR,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore,Summary Coverage,Cosine Similarity,Average_Score
voiceapp\output\summaries_folder\glm4_9b_20241213_192515\CJG - punkt zwrotny usa 1-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - punkt zwrotny usa 1.txt,0.07253680792773433,0.0018419511154473126,0.1823949246629659,0.014297061159650515,0.09040444091990485,0.7825484871864319,0.09929078014184398,0.4914962351326152,0.23364570115782143
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG - robaki 1-summary_4.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - robaki 1.txt,0.14373756914276917,0.015346501532365003,0.3180760279286268,0.05594405594405595,0.1365399534522886,0.7949514985084534,0.16802168021680217,0.5500446591027506,0.28780575223018706
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG - rok 2022 1-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - rok 2022 1.txt,0.17664946094841597,0.02254373407165102,0.3361473522640061,0.05995388162951575,0.12893323100537224,0.7887318730354309,0.21823204419889503,0.6163730352456143,0.3041903668857152
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG - rosja 1-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - rosja 1.txt,0.09844521723832682,0.004243223853191869,0.23780895123580492,0.04548494983277592,0.10821643286573146,0.7923353314399719,0.12757201646090535,0.578780525132,0.2664735187996861
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG - samochody elektryczne mk2 1-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - samochody elektryczne mk2 1.txt,0.20569062935965365,0.036219585204495336,0.3874195854181558,0.1059413027916965,0.17441029306647607,0.8052520155906677,0.2193877551020408,0.6654446874206755,0.3400540141216886
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG - si 1-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - si 1.txt,0.14431565190211287,0.010162717107448207,0.2905604719764011,0.06499261447562778,0.14454277286135694,0.7900312542915344,0.17090069284064666,0.5607093659402801,0.28647354979353734
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG - wagner 1-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - wagner 1.txt,0.13838857105193714,0.015256185573603356,0.3165266106442577,0.05329593267882188,0.14285714285714285,0.7913135290145874,0.16972477064220184,0.6637146928733048,0.30305038067052215
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG - wojna 1-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - wojna 1.txt,0.1619629201659686,0.025018041545366125,0.3525377229080932,0.07692307692307693,0.14814814814814814,0.8098006248474121,0.2025862068965517,0.7006724231793597,0.32500899395963206
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG - woke cz1-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - woke cz1.txt,0.2367647190896287,0.06480575877714509,0.4278892072588348,0.13588516746411486,0.19866284622731617,0.8203132152557373,0.2905405405405405,0.6932641976135975,0.3682264445266249
voiceapp\output\summaries_folder\mistral-small_20241213_125952\CJG - wyrownana plus wierszyk-summary_1.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - wyrownana plus wierszyk.txt,0.18163807435108287,0.020828285664928378,0.3314840499306519,0.05555555555555555,0.12898751733703193,0.7963083386421204,0.26229508196721313,0.4770055524914811,0.28454391056755035
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG - zarobki 1-summary_3.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - zarobki 1.txt,0.10377762858375346,0.004824824943658214,0.242274412855377,0.053217821782178217,0.10754017305315203,0.7808152437210083,0.13320463320463322,0.671829453417835,0.28061136547956606
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG - zasoby strategiczne 1-summary_5.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - zasoby strategiczne 1.txt,0.12946621614853862,0.015768117969255514,0.28862745098039216,0.06755695208169679,0.14274509803921567,0.8042483925819397,0.18508997429305912,0.6313244676660018,0.2971052422095771
voiceapp\output\summaries_folder\llama3.2_3b_20241213_084209\CJG - zus 1-summary_2.txt,C:/Users/G/Documents/GitHub/audycje.com.pl/content/audio\shorts\CJG - zus 1.txt,0.0932157605634259,0.0037639453869750977,0.24442289039767215,0.0592233009708738,0.10960232783705141,0.7854518890380859,0.13559322033898305,0.5824922685474256,0.2683103403916443
